state,year,month,elev,avg_anomaly,median_anomaly,temp_mean,snow_mean,snow_median,site_count
AZ,2000,01,6,-3.0,-1.9,38.5,0.9,1.1,1
AZ,2000,02,6,-4.8,-4.8,36.3,0.4,0.4,1
AZ,2000,03,6,-1.7,0.0,37.7,1.9,1.2,1
AZ,2001,01,6,-0.8,-0.1,28.9,3.4,3.6,1
AZ,2001,02,6,-0.2,-0.1,34.6,5.2,5.1,1
AZ,2001,03,6,1.7,2.3,38.1,5.4,6.0,1
AZ,2001,04,6,-0.4,0.4,35.7,0.5,0.4,1
AZ,2002,01,6,-0.7,0.0,34.9,3.2,3.2,1
AZ,2002,02,6,-3.2,-3.9,38.3,2.1,1.9,1
AZ,2003,01,6,-1.5,-0.4,42.1,2.4,2.7,1
AZ,2003,02,6,-4.4,-4.7,35.1,1.0,0.6,1
AZ,2003,03,6,0.8,1.8,39.2,4.2,3.8,1
AZ,2004,01,6,-0.7,-0.4,33.7,3.1,2.5,1
AZ,2004,02,6,0.5,0.5,31.8,5.8,5.8,1
AZ,2004,03,6,-0.6,-0.1,44.4,3.3,4.0,1
AZ,2004,04,6,-0.9,0.2,36.3,0.2,0.2,1
AZ,2005,01,6,0.7,1.6,35.6,4.6,5.2,1
AZ,2005,02,6,-1.4,-1.3,35.4,4.0,4.1,1
AZ,2005,03,6,-4.1,-4.0,38.0,0.5,0.6,1
AZ,2006,03,6,1.6,3.4,36.8,3.9,4.5,1
AZ,2006,04,6,-0.6,0.6,42.0,0.6,0.6,1
AZ,2007,01,6,-0.6,-0.6,33.8,3.3,2.1,1
AZ,2007,02,6,1.4,1.2,39.0,6.8,6.8,1
AZ,2007,03,6,-0.3,0.4,43.9,4.1,4.9,1
AZ,2008,01,6,-1.0,-0.4,34.2,2.8,3.1,1
AZ,2008,02,6,0.9,1.0,39.2,6.3,6.6,1
AZ,2008,03,6,-0.1,1.1,41.6,3.5,4.1,1
AZ,2009,01,6,7.7,8.5,41.0,11.6,11.6,1
AZ,2009,02,6,6.1,6.7,40.4,11.4,11.9,1
AZ,2009,03,6,-0.3,-0.1,43.6,4.0,4.0,1
AZ,2009,04,6,-0.2,0.4,41.0,0.4,0.4,1
AZ,2010,01,6,6.3,5.0,37.4,10.2,7.2,1
AZ,2010,02,6,11.4,10.9,36.6,16.7,16.4,1
AZ,2010,03,6,12.3,13.9,41.1,15.3,17.3,1
AZ,2010,04,6,2.4,3.8,41.8,3.5,3.8,1
AZ,2011,01,6,0.7,1.5,37.6,4.6,4.6,1
AZ,2011,02,6,-1.1,-1.0,35.3,4.3,4.3,1
AZ,2011,03,6,-1.3,-0.9,45.0,2.9,3.3,1
AZ,2011,04,6,-0.4,0.3,33.0,0.3,0.3,1
AZ,2012,01,6,2.5,3.4,40.6,6.4,6.5,1
AZ,2012,02,6,-1.6,-1.6,38.3,3.7,4.1,1
AZ,2012,03,6,-1.1,1.1,40.6,1.5,1.9,1
AZ,2012,04,6,-0.1,0.3,43.0,0.3,0.3,1
AZ,2013,01,6,-14.2,-12.1,32.1,4.8,4.3,1
AZ,2013,02,6,-16.6,-12.1,33.9,3.7,3.4,1
AZ,2013,03,6,-15.5,-1.1,44.1,2.4,1.8,1
AZ,2013,04,6,0.5,1.0,42.8,1.1,1.0,1
AZ,2014,01,6,-16.9,-2.5,40.3,2.0,1.9,1
AZ,2014,02,6,-17.6,-5.0,36.5,0.9,0.7,1
AZ,2014,03,6,-17.6,-4.8,40.3,0.2,0.2,1
AZ,2015,01,6,-11.8,-1.6,38.0,1.7,2.1,1
AZ,2015,02,6,-12.6,-4.8,42.7,0.5,0.4,1
AZ,2015,03,6,-30.0,-38.4,35.3,0.8,0.8,1
AZ,2016,01,6,-13.2,-11.9,34.9,5.8,4.9,1
AZ,2016,02,6,-11.2,-1.2,42.9,5.6,5.3,1
AZ,2000,01,7,-2.8,-2.2,32.7,0.7,0.7,1
AZ,2000,03,7,-3.5,-1.6,35.2,1.9,1.5,1
AZ,2000,04,7,-4.0,-0.9,40.8,1.5,0.4,1
AZ,2000,02,7,-5.5,-4.6,33.1,0.6,0.5,1
AZ,2001,01,7,-1.3,-1.0,26.2,2.5,2.3,1
AZ,2001,02,7,-1.6,-1.2,30.6,4.0,4.0,1
AZ,2001,03,7,-0.2,0.7,37.3,5.2,5.3,1
AZ,2001,04,7,-1.2,0.4,37.9,1.8,0.8,1
AZ,2001,05,7,0.5,0.5,55.7,0.5,0.5,1
AZ,2002,01,7,-1.5,-1.0,29.8,2.1,1.9,1
AZ,2002,02,7,-3.6,-3.0,32.7,2.0,2.1,1
