state,year,month,elev,avg_anomaly,median_anomaly,temp_mean,snow_mean,snow_median,site_count
AZ,2000,,6,-2.8,-1.9,37.8,1.2,0.7,1
AZ,2001,,6,0.2,0.1,33.9,4.5,4.9,1
AZ,2002,,6,-1.9,-0.9,36.5,2.7,3.2,1
AZ,2003,,6,-1.7,-0.4,38.9,2.5,2.6,1
AZ,2004,,6,-0.3,0.1,35.6,4.0,4.7,1
AZ,2005,,6,-0.7,-0.5,35.8,3.9,4.3,1
AZ,2006,,6,1.4,3.3,37.2,3.6,4.4,1
AZ,2007,,6,0.2,0.8,37.6,4.8,5.5,1
AZ,2008,,6,-0.1,0.2,38.0,4.2,3.9,1
AZ,2009,,6,5.5,7.0,41.2,9.9,11.4,1
AZ,2010,,6,9.6,10.9,38.6,13.5,15.8,1
AZ,2011,,6,-0.4,-0.1,38.1,4.1,4.6,1
AZ,2012,,6,0.3,0.9,39.7,4.6,5.0,1
AZ,2013,,6,-14.9,-0.6,35.4,3.8,3.8,1
AZ,2014,,6,-17.1,-4.8,39.5,1.6,1.0,1
AZ,2015,,6,-13.1,-2.9,38.4,1.5,1.4,1
AZ,2016,,6,-12.4,-1.2,38.1,5.7,5.0,1
AZ,2000,,7,-3.6,-2.7,34.1,1.2,0.8,1
AZ,2001,,7,-1.0,-0.5,32.1,3.7,3.2,1
AZ,2002,,7,-2.7,-2.2,31.3,1.9,1.9,1
AZ,2003,,7,-1.9,-1.0,34.6,2.7,2.3,1
AZ,2004,,7,-1.6,-1.1,31.6,3.0,2.6,1
AZ,2005,,7,2.7,3.6,35.8,7.3,6.8,1
AZ,2006,,7,-2.9,-1.6,34.0,1.6,1.7,1
AZ,2007,,7,-1.0,-0.4,34.4,3.7,3.4,1
AZ,2008,,7,2.4,2.5,35.3,7.2,6.4,1
AZ,2009,,7,-0.4,2.0,37.8,6.6,6.4,1
AZ,2010,,7,-0.6,6.5,35.8,11.9,10.9,1
AZ,2011,,7,-8.2,-1.1,35.3,4.2,3.2,1
AZ,2012,,7,-9.2,-1.4,36.5,3.6,3.1,1
AZ,2013,,7,-8.9,-1.1,33.7,4.3,3.7,1
AZ,2014,,7,-11.7,-3.1,38.3,2.1,2.0,1
AZ,2015,,7,-9.4,-2.9,38.1,1.8,1.7,1
AZ,2016,,7,-8.2,0.1,36.8,5.1,4.8,1
AZ,2000,,8,-2.3,-2.4,31.9,0.3,0.2,1
AZ,2001,,8,-1.5,-1.1,27.2,1.3,1.3,1
AZ,2002,,8,-2.5,-2.7,26.6,0.5,0.4,1
AZ,2003,,8,-1.4,-0.6,30.3,1.4,1.7,1
AZ,2004,,8,-1.0,-0.4,28.3,1.7,1.6,1
AZ,2005,,8,2.3,2.7,32.7,5.2,5.5,1
AZ,2006,,8,-1.6,-1.9,31.7,1.1,1.1,1
AZ,2007,,8,-1.1,-0.2,30.8,2.0,2.4,1
AZ,2008,,8,2.2,2.8,31.0,5.2,5.3,1
AZ,2009,,8,-20.4,-24.1,35.5,6.8,3.9,1
AZ,2010,,8,-14.8,-17.1,33.7,10.7,9.8,1
AZ,2011,,8,-21.3,-28.0,33.5,4.4,2.5,1
AZ,2012,,8,-27.3,-31.8,36.5,2.5,2.0,1
AZ,2013,,8,-22.9,-29.0,32.2,3.4,2.8,1
AZ,2014,,8,-27.8,-31.5,37.6,2.5,3.3,1
AZ,2015,,8,-24.5,-30.8,37.9,2.6,2.2,1
AZ,2016,,8,-24.5,-28.3,35.6,5.8,6.2,1
AZ,2000,,9,-7.7,-6.8,31.3,3.1,1.1,1
AZ,2001,,9,-0.4,0.8,27.4,8.9,8.5,1
AZ,2002,,9,-6.2,-4.4,28.2,4.2,4.1,1
AZ,2003,,9,-1.9,-0.5,30.3,7.6,7.2,1
AZ,2004,,9,-3.6,-2.5,28.7,6.1,5.5,1
AZ,2005,,9,7.9,6.3,31.8,17.1,13.7,1
AZ,2006,,9,-8.5,-6.8,34.8,3.1,2.6,1
AZ,2007,,9,-4.7,-2.5,32.5,5.3,5.4,1
AZ,2008,,9,3.9,4.2,32.1,13.5,12.1,1
AZ,2009,,9,0.9,1.9,33.5,10.8,9.6,1
AZ,2010,,9,0.2,6.6,32.1,13.6,14.2,1
AZ,2011,,9,-8.2,-2.7,31.6,6.8,5.6,1
AZ,2012,,9,-7.9,-2.5,32.7,6.6,6.5,1
AZ,2013,,9,-7.4,-1.7,30.1,7.1,6.8,1
AZ,2014,,9,-10.5,-5.2,33.9,4.6,3.2,1
AZ,2015,,9,-10.2,-4.4,34.7,4.4,3.7,1
AZ,2016,,9,-9.2,-4.4,32.7,5.8,5.8,1
CA,2000,,5,1.1,1.2,34.1,4.7,5.0,1
CA,2001,,5,-1.1,-0.6,32.3,2.3,2.2,1
CA,2002,,5,1.5,1.9,31.9,4.9,4.9,1
CA,2003,,5,-1.9,-1.1,35.7,0.7,0.8,1
CA,2004,,5,1.9,2.5,33.8,5.5,5.8,1
CA,2005,,5,-2.0,-1.7,33.2,1.7,1.9,1
CA,2006,,5,0.8,0.3,32.3,3.7,4.2,1
CA,2007,,5,-2.7,-2.4,32.8,0.8,0.9,1
CA,2008,,5,2.4,3.3,31.2,5.6,5.9,1
CA,2009,,5,-0.7,-0.4,34.0,2.6,2.8,1
CA,2010,,5,0.6,0.9,34.9,4.0,4.2,1
CA,2011,,5,0.9,1.0,32.7,3.9,3.6,1
CA,2012,,5,-2.2,-2.2,33.9,0.8,0.5,1
CA,2013,,5,-0.2,-0.1,31.9,3.5,3.8,1
CA,2014,,5,-2.6,-1.9,35.3,0.3,0.3,1
CA,2015,,5,-38.0,-38.0,41.0,0.2,0.2,1
CA,2016,,5,-16.9,-22.4,35.4,5.0,5.1,1
CA,2000,,6,-1.2,-0.5,33.4,13.0,10.7,1
CA,2001,,6,-5.3,-3.8,30.6,8.3,6.3,1
CA,2002,,6,-0.1,0.8,31.3,13.6,11.0,1
CA,2003,,6,-0.4,0.1,33.8,12.3,8.3,1
CA,2004,,6,0.9,2.3,33.9,14.9,12.1,1
CA,2005,,6,6.0,6.5,34.3,18.3,14.7,1
CA,2006,,6,1.5,-0.5,33.6,14.1,9.5,1
CA,2007,,6,-6.7,-4.9,33.7,7.3,5.4,1
CA,2008,,6,1.5,2.6,33.0,14.4,12.8,1
CA,2009,,6,-1.7,-0.3,34.1,11.9,9.3,1
CA,2010,,6,3.1,2.8,35.0,15.2,11.8,1
CA,2011,,6,12.4,9.1,34.6,23.7,17.0,1
CA,2012,,6,-7.7,-5.8,34.5,6.3,4.4,1
CA,2013,,6,-4.9,-2.7,32.6,9.1,6.6,1
CA,2014,,6,-11.8,-9.2,35.9,2.8,1.7,1
CA,2015,,6,-12.6,-9.5,36.5,2.7,2.5,1
CA,2016,,6,-0.3,0.5,36.0,14.1,11.9,1
CA,2000,,7,-3.2,-1.3,32.2,13.9,11.8,1
CA,2001,,7,-6.9,-5.7,29.9,9.8,9.3,1
CA,2002,,7,0.0,1.0,31.3,16.8,14.6,1
CA,2003,,7,-0.4,0.4,33.3,15.3,13.5,1
CA,2004,,7,0.0,1.5,32.9,17.1,15.5,1
CA,2005,,7,7.1,7.7,33.2,22.4,19.0,1
CA,2006,,7,5.2,5.3,32.3,21.0,18.0,1
CA,2007,,7,-8.7,-6.8,32.9,8.5,7.3,1
CA,2008,,7,-0.1,1.1,32.1,16.3,15.8,1
CA,2009,,7,-3.7,-2.2,33.2,13.0,10.9,1
CA,2010,,7,1.1,0.5,33.5,15.9,15.1,1
CA,2011,,7,11.8,9.8,33.3,25.9,22.5,1
CA,2012,,7,-10.1,-8.1,33.6,7.3,6.1,1
CA,2013,,7,-5.3,-4.4,32.4,12.1,10.2,1
CA,2014,,7,-11.2,-9.8,35.3,6.2,4.6,1
CA,2015,,7,-12.6,-10.9,36.6,4.7,3.0,1
CA,2016,,7,0.4,1.4,35.4,17.3,16.0,1
CA,2000,,8,-5.1,-2.5,32.3,20.2,19.5,1
CA,2001,,8,-11.5,-7.9,30.6,14.0,12.5,1
CA,2002,,8,-0.8,0.4,31.9,24.5,22.0,1
CA,2003,,8,3.3,3.5,33.6,27.4,23.8,1
CA,2004,,8,-1.7,0.9,32.9,23.0,22.5,1
CA,2005,,8,9.7,11.6,33.5,32.5,32.1,1
CA,2006,,8,11.2,11.7,33.3,33.9,31.5,1
CA,2007,,8,-13.0,-10.8,33.4,12.2,10.4,1
CA,2008,,8,-5.1,-1.3,32.3,19.1,19.6,1
CA,2009,,8,-6.0,-3.2,33.6,18.5,16.1,1
CA,2010,,8,0.0,0.5,32.9,22.3,21.7,1
CA,2011,,8,14.8,15.0,33.3,35.9,33.2,1
CA,2012,,8,-15.6,-13.1,33.5,10.0,8.1,1
CA,2013,,8,-6.3,-4.0,33.1,18.9,18.1,1
CA,2014,,8,-15.4,-11.7,35.1,9.6,10.1,1
CA,2015,,8,-17.3,-13.4,36.3,7.4,6.7,1
CA,2016,,8,-2.1,1.2,35.4,21.9,21.4,1
CA,2000,,9,-3.8,-2.7,31.2,22.3,12.7,1
CA,2001,,9,-11.4,-5.4,27.6,14.8,10.1,1
CA,2002,,9,-3.2,-2.3,29.3,23.1,12.5,1
CA,2003,,9,2.1,3.6,31.0,27.0,18.7,1
CA,2004,,9,-2.1,0.0,31.0,22.8,15.7,1
CA,2005,,9,14.4,14.6,30.9,37.1,30.0,1
CA,2006,,9,16.1,15.8,31.9,38.6,29.9,1
CA,2007,,9,-14.0,-10.6,31.8,11.1,7.2,1
CA,2008,,9,-2.3,1.3,31.7,21.0,19.1,1
CA,2009,,9,-5.3,-3.2,32.1,19.4,12.4,1
