state,year,month,elev,avg_anomaly,median_anomaly,temp_mean,snow_mean,snow_median,site_count
,2000,,2,1.3,2.3,34.6,11.1,11.5,1
,2001,,2,-3.6,-1.9,34.2,8.6,7.0,1
,2002,,2,7.1,7.4,34.9,15.4,12.5,1
,2003,,2,-7.4,-7.1,35.4,6.0,4.2,1
,2004,,2,-0.7,0.5,35.2,9.6,10.1,1
,2005,,2,-9.9,-7.6,33.5,2.3,1.8,1
,2006,,2,1.3,1.3,36.6,11.1,7.0,1
,2007,,2,1.0,1.0,36.1,11.2,5.4,1
,2008,,2,10.3,9.4,36.7,22.1,23.0,1
,2009,,2,-3.1,0.8,36.9,12.2,11.8,1
,2010,,2,-11.9,-7.6,37.9,4.7,2.4,1
,2011,,2,-6.8,-0.8,35.7,11.2,7.9,1
,2012,,2,-4.8,1.3,36.6,13.4,8.9,1
,2013,,2,-5.7,1.5,36.6,12.3,10.9,1
,2014,,2,-12.3,-6.3,35.6,9.1,5.4,1
,2015,,2,-15.0,-14.8,36.9,6.9,3.9,1
,2016,,2,-6.6,-0.2,37.2,12.8,7.3,1
,2000,,3,5.3,5.9,34.9,24.3,21.6,1
,2001,,3,-7.8,-5.6,33.9,12.3,11.3,1
,2002,,3,10.6,9.9,33.9,28.5,25.1,1
,2003,,3,-9.4,-7.3,35.5,10.8,8.9,1
,2004,,3,-0.9,0.6,35.8,19.3,18.9,1
,2005,,3,-15.8,-13.1,35.3,4.8,3.6,1
,2006,,3,4.2,5.3,36.4,22.8,19.2,1
,2007,,3,1.8,1.6,36.4,22.4,20.4,1
,2008,,3,17.9,15.1,35.9,35.2,32.4,1
,2009,,3,2.3,2.2,36.5,21.6,18.6,1
,2010,,3,-7.5,-5.3,37.4,13.5,11.2,1
,2011,,3,4.3,2.7,35.4,22.8,17.2,1
,2012,,3,3.9,3.8,36.3,23.6,19.2,1
,2013,,3,1.5,2.7,36.8,22.5,17.9,1
,2014,,3,-8.5,-7.3,36.3,13.9,9.8,1
,2015,,3,-18.3,-15.9,37.5,4.5,3.2,1
,2016,,3,-6.3,-2.5,38.1,16.8,15.9,1
,2000,,4,1.9,1.9,33.0,18.9,14.9,1
,2001,,4,-6.2,-3.9,31.7,11.2,10.0,1
,2002,,4,5.5,5.1,31.8,21.3,16.9,1
,2003,,4,-5.6,-3.5,33.9,13.1,9.9,1
,2004,,4,-0.3,0.9,33.8,18.2,15.2,1
,2005,,4,-13.0,-10.4,33.6,6.0,5.0,1
,2006,,4,3.4,2.8,33.9,20.8,15.9,1
,2007,,4,0.6,0.4,34.1,19.0,14.6,1
,2008,,4,9.5,7.5,33.3,24.3,18.9,1
,2009,,4,0.3,0.6,34.1,18.0,14.7,1
,2010,,4,-2.3,-1.3,35.4,15.9,10.5,1
,2011,,4,6.1,3.6,33.2,22.8,17.2,1
,2012,,4,3.2,1.8,34.4,21.7,15.4,1
,2013,,4,-0.9,-0.3,34.2,18.7,14.2,1
,2014,,4,-4.4,-2.5,34.4,15.4,11.5,1
,2015,,4,-14.7,-11.1,35.9,6.1,5.2,1
,2016,,4,-2.8,-0.4,36.5,17.8,14.6,1
,2000,,5,0.7,1.3,31.7,19.9,15.2,1
,2001,,5,-8.4,-5.7,30.8,10.8,8.6,1
,2002,,5,3.2,2.5,30.3,21.3,15.4,1
,2003,,5,-3.5,-2.2,32.4,15.4,11.9,1
,2004,,5,-0.7,0.8,32.4,18.3,14.6,1
,2005,,5,-10.1,-7.3,32.2,9.1,7.1,1
,2006,,5,3.7,4.2,32.4,21.7,17.8,1
,2007,,5,-2.5,-1.4,32.7,17.5,12.6,1
,2008,,5,5.4,4.4,31.6,23.4,18.1,1
,2009,,5,-1.1,0.2,32.6,17.9,14.1,1
,2010,,5,-2.2,-1.5,33.4,17.1,12.1,1
,2011,,5,5.2,2.8,31.8,23.7,16.8,1
,2012,,5,1.2,-0.2,32.8,21.2,13.5,1
,2013,,5,-2.6,-2.2,32.4,18.1,11.6,1
,2014,,5,-3.4,-2.6,33.3,16.8,10.9,1
,2015,,5,-11.8,-8.7,35.0,10.0,7.3,1
,2016,,5,-1.9,-0.4,35.0,19.3,14.6,1
,2000,,6,-1.3,-0.4,31.4,15.5,11.9,1
,2001,,6,-7.1,-4.3,29.4,9.9,8.2,1
,2002,,6,2.1,1.1,29.0,18.4,12.9,1
,2003,,6,-1.2,-0.5,31.9,15.2,10.6,1
,2004,,6,-0.7,0.7,31.8,16.3,13.3,1
,2005,,6,-4.1,-2.3,32.1,12.2,10.2,1
,2006,,6,3.6,3.5,31.6,19.9,15.3,1
,2007,,6,-3.2,-2.1,31.6,14.2,10.1,1
,2008,,6,3.5,3.1,30.2,19.1,14.6,1
,2009,,6,-1.1,0.1,31.5,15.3,12.0,1
,2010,,6,-2.8,-1.7,32.2,13.2,10.3,1
,2011,,6,6.5,4.8,31.0,21.8,15.9,1
,2012,,6,-1.7,-0.9,32.1,15.8,10.6,1
,2013,,6,-4.2,-1.8,30.3,13.7,9.4,1
,2014,,6,-1.9,0.3,32.1,15.8,11.2,1
,2015,,6,-6.6,-3.4,33.6,12.0,9.0,1
,2016,,6,-3.6,-0.7,33.7,14.9,11.1,1
,2000,,7,-2.0,-0.8,30.0,10.8,9.7,1
,2001,,7,-4.4,-3.0,28.2,8.1,7.5,1
,2002,,7,-1.2,-0.6,27.4,11.3,9.8,1
,2003,,7,-0.9,-0.3,30.8,11.3,9.7,1
,2004,,7,-1.1,0.1,30.3,11.6,10.3,1
,2005,,7,-0.6,-0.6,31.4,11.4,10.0,1
,2006,,7,3.5,3.3,30.0,16.1,13.7,1
,2007,,7,-3.7,-2.3,30.4,9.0,7.7,1
,2008,,7,1.7,1.8,28.9,13.4,12.0,1
,2009,,7,-0.3,0.4,31.0,12.3,10.9,1
,2010,,7,-2.6,-1.5,30.9,10.4,9.3,1
,2011,,7,4.0,4.0,30.3,16.7,14.5,1
,2012,,7,-5.0,-2.0,31.3,9.7,8.1,1
,2013,,7,-5.0,-1.7,29.0,9.9,8.7,1
,2014,,7,-3.2,-0.7,31.6,11.6,9.6,1
,2015,,7,-6.0,-2.5,33.2,8.9,8.1,1
,2016,,7,-3.7,-0.6,32.6,11.4,9.9,1
,2000,,8,-3.0,-1.5,29.7,11.8,10.2,1
,2001,,8,-4.8,-2.7,27.7,9.6,8.8,1
,2002,,8,-2.9,-1.5,26.6,11.9,10.3,1
,2003,,8,-1.8,-0.9,29.9,12.6,10.6,1
,2004,,8,-2.5,-0.5,29.5,12.3,10.8,1
,2005,,8,1.7,1.2,30.9,15.7,13.0,1
,2006,,8,3.3,3.0,29.7,18.1,15.5,1
,2007,,8,-5.3,-2.6,30.0,9.6,8.5,1
,2008,,8,1.1,2.2,28.3,15.3,13.9,1
,2009,,8,-1.0,0.9,30.6,14.2,12.4,1
,2010,,8,-2.9,-1.2,30.1,11.8,10.3,1
,2011,,8,4.9,5.4,29.9,19.7,16.9,1
,2012,,8,-7.1,-3.6,30.6,9.4,7.8,1
,2013,,8,-6.5,-2.5,28.3,10.4,8.9,1
,2014,,8,-4.8,-1.1,30.9,12.0,9.9,1
,2015,,8,-8.4,-3.8,32.8,8.7,7.7,1
,2016,,8,-5.1,-1.1,31.8,12.1,10.3,1
,2000,,9,-2.5,-1.3,28.2,10.9,9.7,1
,2001,,9,-3.1,-1.8,26.3,9.9,9.0,1
,2002,,9,-3.5,-2.1,24.5,9.8,7.8,1
,2003,,9,-1.2,-0.6,27.9,11.7,9.7,1
,2004,,9,-2.2,-0.7,27.9,11.0,9.8,1
,2005,,9,3.5,1.9,29.4,15.9,13.0,1
,2006,,9,0.9,0.8,28.2,14.4,11.9,1
,2007,,9,-3.7,-1.8,29.1,9.9,8.7,1
,2008,,9,2.3,2.7,27.0,15.3,13.3,1
,2009,,9,0.1,1.1,29.3,13.7,11.7,1
