state,year,month,elev,avg_anomaly,median_anomaly,temp_mean,snow_mean,snow_median,site_count
AZ,2000,01,,-3.9,-3.0,31.9,0.7,0.7,1
AZ,2000,03,,-4.8,-3.4,33.9,2.5,1.4,1
AZ,2000,04,,-5.9,-3.3,39.8,6.3,4.4,1
AZ,2000,02,,-7.0,-5.4,31.8,1.4,0.5,1
AZ,2000,05,,-7.8,-5.2,45.1,0.9,1.0,1
AZ,2001,01,,-0.9,-0.4,24.2,3.9,3.2,1
AZ,2001,02,,-1.2,-0.5,29.3,5.6,5.1,1
AZ,2001,03,,-0.0,0.8,34.8,7.2,6.7,1
AZ,2001,04,,-1.0,0.6,35.6,4.6,2.8,1
AZ,2001,05,,-2.6,0.1,38.8,4.2,3.3,1
AZ,2002,01,,-1.9,-1.4,28.6,2.6,2.9,1
AZ,2002,02,,-4.2,-3.3,31.2,2.9,3.0,1
AZ,2002,03,,-8.1,-7.2,30.5,3.3,2.9,1
AZ,2002,04,,-14.5,-12.9,39.4,2.2,1.8,1
AZ,2002,05,,-10.7,-9.1,35.5,0.2,0.3,1
AZ,2003,01,,-1.6,-1.0,34.1,2.9,2.4,1
AZ,2003,02,,-3.8,-3.2,29.5,3.6,2.9,1
AZ,2003,03,,-0.9,0.1,33.6,6.0,4.2,1
AZ,2003,04,,-1.4,0.6,36.4,7.4,6.6,1
AZ,2003,05,,-1.9,1.2,41.8,4.8,4.5,1
AZ,2004,01,,-2.0,-1.5,27.9,2.5,1.8,1
AZ,2004,02,,-1.9,-1.4,25.5,4.8,4.2,1
AZ,2004,03,,-2.0,-0.8,38.3,5.6,4.8,1
AZ,2004,04,,-3.7,-0.4,35.3,2.9,1.1,1
AZ,2004,05,,-8.8,-7.0,44.7,1.7,1.4,1
AZ,2005,01,,2.9,2.5,32.0,7.5,6.3,1
AZ,2005,02,,3.7,3.6,32.4,10.4,9.3,1
AZ,2005,03,,4.6,5.1,35.0,11.7,10.2,1
AZ,2005,04,,6.1,6.5,40.5,12.7,8.4,1
AZ,2005,05,,17.9,24.9,44.3,22.9,25.7,1
AZ,2005,06,,2.9,3.2,45.5,3.2,3.2,1
AZ,2006,03,,-3.8,-1.8,32.5,2.7,2.3,1
AZ,2006,01,,-5.7,-5.3,30.1,1.4,1.0,1
AZ,2006,02,,-7.8,-6.9,36.4,1.5,1.1,1
AZ,2006,04,,-6.9,-5.7,41.0,3.7,1.8,1
AZ,2006,05,,-5.9,-1.2,48.2,1.0,0.9,1
AZ,2007,01,,-1.7,-1.1,28.8,2.8,2.3,1
AZ,2007,02,,-0.9,-0.2,34.1,5.8,5.2,1
AZ,2007,03,,-3.4,-1.9,39.2,5.0,4.8,1
AZ,2007,04,,-8.5,-7.8,40.9,2.7,2.7,1
AZ,2007,05,,-5.5,-0.5,44.7,1.3,1.2,1
AZ,2008,01,,1.4,1.6,29.8,5.9,4.9,1
AZ,2008,02,,4.4,4.4,34.3,11.1,10.0,1
AZ,2008,03,,3.3,3.8,37.4,10.3,9.3,1
AZ,2008,04,,0.2,1.8,39.4,10.2,6.3,1
AZ,2008,05,,-1.0,0.5,41.6,2.8,1.4,1
AZ,2009,01,,-0.9,3.4,34.9,7.8,7.6,1
AZ,2009,02,,-1.9,2.0,35.4,8.6,8.5,1
AZ,2009,03,,-4.2,-0.4,39.2,7.7,7.2,1
AZ,2009,04,,-11.6,-2.0,37.8,7.4,6.1,1
AZ,2009,05,,-7.3,-4.8,50.2,2.2,1.1,1
AZ,2010,01,,-4.7,1.5,31.7,7.6,6.2,1
AZ,2010,02,,0.1,7.0,31.4,14.2,14.2,1
AZ,2010,03,,1.0,9.3,36.0,16.3,16.4,1
AZ,2010,04,,-2.0,5.6,40.3,11.5,10.2,1
AZ,2010,05,,-15.0,0.3,43.3,6.7,3.9,1
AZ,2011,01,,-7.1,-0.3,31.7,4.5,4.0,1
AZ,2011,02,,-8.2,-2.1,30.0,4.9,4.8,1
AZ,2011,03,,-11.1,-3.0,40.0,5.8,4.6,1
AZ,2011,04,,-18.7,-5.8,40.7,5.1,3.1,1
AZ,2011,05,,-12.9,-2.8,42.0,0.6,0.4,1
AZ,2012,01,,-7.6,0.0,35.3,4.2,3.9,1
AZ,2012,02,,-9.2,-2.4,33.4,4.4,4.3,1
AZ,2012,03,,-14.7,-5.0,37.3,4.5,3.7,1
AZ,2012,04,,-25.9,-33.5,42.7,3.8,2.4,1
AZ,2013,01,,-9.2,-0.6,27.9,4.3,4.0,1
AZ,2013,02,,-9.5,-1.6,30.0,5.2,4.9,1
AZ,2013,03,,-11.9,-2.5,40.7,5.7,4.9,1
AZ,2013,04,,-18.3,-6.6,40.8,3.7,1.2,1
AZ,2014,01,,-10.0,-2.1,36.8,2.7,2.7,1
AZ,2014,02,,-13.3,-4.9,36.2,3.0,2.9,1
AZ,2014,03,,-19.1,-8.6,37.8,3.5,1.9,1
AZ,2014,04,,-21.3,-11.1,38.1,3.0,1.5,1
AZ,2014,05,,-21.1,-19.3,36.3,0.7,0.7,1
AZ,2015,01,,-9.0,-2.5,35.0,2.1,2.0,1
AZ,2015,02,,-11.9,-4.5,38.5,2.9,2.2,1
AZ,2015,03,,-16.2,-6.4,38.7,4.4,3.1,1
AZ,2015,05,,-15.3,-5.4,39.3,0.9,0.8,1
AZ,2015,04,,-13.8,-9.2,36.9,4.5,4.4,1
AZ,2016,01,,-8.9,-0.6,32.0,5.3,5.0,1
AZ,2016,02,,-9.7,-2.7,37.8,5.9,6.0,1
AZ,2016,03,,-23.4,-28.2,40.7,5.5,5.8,1
AZ,2016,04,,-26.5,-33.1,40.3,3.8,3.5,1
AZ,2016,05,,-17.1,-7.3,38.9,0.7,0.4,1
CA,2000,01,,-5.9,-4.5,27.6,6.3,4.7,1
CA,2000,02,,-1.6,-0.9,28.9,16.0,13.2,1
CA,2000,03,,0.7,0.8,31.5,23.4,18.0,1
CA,2000,04,,-4.9,-2.2,38.0,19.7,17.7,1
CA,2000,05,,-6.8,-1.8,41.1,18.1,12.5,1
CA,2000,06,,-5.2,-0.6,51.0,20.5,19.9,1
CA,2001,01,,-5.8,-4.5,24.7,5.8,5.0,1
CA,2001,02,,-7.0,-5.7,24.1,10.2,8.6,1
CA,2001,03,,-7.8,-6.3,34.6,14.7,12.3,1
CA,2001,04,,-9.7,-6.2,31.7,13.5,12.4,1
CA,2001,05,,-15.8,-10.8,45.7,11.4,9.6,1
CA,2001,06,,-36.7,-30.5,45.4,4.6,4.6,1
CA,2002,01,,3.7,3.4,24.8,15.7,12.0,1
CA,2002,02,,0.6,0.5,30.5,18.0,13.9,1
CA,2002,03,,-0.4,-0.2,28.9,22.0,18.6,1
CA,2002,04,,-4.3,-2.2,36.2,19.9,15.4,1
CA,2002,05,,-4.7,-0.5,39.9,18.6,14.1,1
CA,2002,06,,-9.9,-0.6,50.0,14.4,13.5,1
CA,2003,01,,3.5,3.9,35.0,15.5,12.3,1
CA,2003,02,,-0.7,0.0,26.1,17.1,13.9,1
CA,2003,03,,-4.2,-3.1,32.6,19.4,17.1,1
CA,2003,04,,-0.9,1.1,29.4,21.5,19.1,1
CA,2003,05,,8.8,11.9,41.1,25.4,21.9,1
CA,2003,06,,1.2,7.3,53.2,18.2,14.5,1
CA,2004,01,,3.8,4.0,27.4,16.0,14.2,1
CA,2004,02,,2.2,2.3,25.3,20.0,17.3,1
CA,2004,03,,1.0,1.6,37.9,24.1,21.9,1
CA,2004,04,,-6.3,-3.4,37.1,18.9,17.1,1
CA,2004,05,,-11.8,-7.1,43.1,14.7,10.7,1
CA,2004,06,,-13.6,-5.2,50.1,13.8,15.1,1
CA,2005,01,,7.7,8.7,28.4,20.1,18.1,1
CA,2005,02,,6.7,7.7,29.5,24.6,22.0,1
CA,2005,03,,5.9,7.1,32.2,29.4,27.9,1
CA,2005,04,,11.1,14.1,34.0,34.2,33.5,1
CA,2005,05,,13.5,18.9,41.5,30.1,27.9,1
CA,2005,06,,7.8,9.4,43.3,18.4,10.2,1
CA,2006,01,,3.9,5.5,29.1,16.2,15.8,1
CA,2006,02,,2.8,3.0,29.4,20.7,19.7,1
CA,2006,03,,5.5,5.8,25.4,28.3,28.3,1
CA,2006,04,,14.9,17.0,35.3,37.6,38.4,1
CA,2006,05,,14.8,18.6,44.6,32.2,29.6,1
CA,2006,06,,9.5,11.8,50.9,20.5,13.3,1
CA,2007,01,,-6.2,-4.6,25.8,6.2,5.3,1
CA,2007,02,,-9.4,-7.8,30.2,8.8,7.3,1
CA,2007,03,,-10.0,-8.7,36.8,13.8,11.7,1
CA,2007,04,,-14.5,-12.0,37.1,10.8,9.3,1
CA,2007,05,,-17.7,-13.1,42.3,10.4,6.9,1
CA,2007,06,,-26.4,-16.5,47.9,6.2,5.7,1
CA,2008,01,,-1.2,0.2,25.6,11.1,10.3,1
CA,2008,02,,2.1,3.1,30.0,20.1,18.4,1
CA,2008,03,,-0.1,1.0,32.4,22.6,20.7,1
CA,2008,04,,-4.0,0.0,35.5,20.2,19.6,1
CA,2008,05,,-9.1,-3.0,41.2,11.2,8.7,1
CA,2008,06,,-10.0,-5.6,47.5,10.6,7.0,1
CA,2009,01,,-4.0,-2.5,31.8,8.4,7.5,1
CA,2009,02,,-5.3,-5.0,29.0,12.6,11.1,1
CA,2009,03,,-2.6,-1.7,31.0,20.7,17.9,1
CA,2009,04,,-4.1,-1.1,35.7,20.6,17.7,1
CA,2009,05,,-6.6,-1.6,44.9,15.9,11.5,1
CA,2009,06,,-8.4,-0.4,46.1,17.9,17.3,1
CA,2010,01,,-1.7,-0.4,30.8,10.7,9.5,1
CA,2010,02,,-1.2,-0.5,30.8,16.7,14.8,1
CA,2010,03,,-1.7,-0.4,31.6,21.3,19.4,1
CA,2010,04,,2.1,4.5,32.7,25.0,22.8,1
CA,2010,05,,6.6,10.3,36.7,22.1,21.4,1
CA,2010,06,,5.7,10.4,47.5,15.3,12.2,1
CA,2011,01,,7.1,7.7,31.4,19.4,18.1,1
CA,2011,02,,4.2,4.3,25.9,22.1,20.5,1
CA,2011,03,,10.7,9.9,31.0,33.6,31.1,1
CA,2011,04,,17.6,20.0,34.0,40.2,38.4,1
CA,2011,05,,19.8,24.2,37.9,34.5,32.8,1
CA,2011,06,,23.5,25.1,45.6,29.3,25.3,1
CA,2012,01,,-10.3,-8.5,33.2,2.8,2.0,1
CA,2012,02,,-12.3,-10.3,29.4,5.7,5.3,1
CA,2012,03,,-13.4,-11.1,31.9,10.0,8.6,1
CA,2012,04,,-11.1,-8.3,37.1,13.6,11.8,1
CA,2012,05,,-19.0,-14.1,43.3,9.7,7.5,1
CA,2012,06,,-14.3,-12.2,48.3,6.1,5.8,1
CA,2013,01,,2.1,2.0,27.4,14.5,12.0,1
CA,2013,02,,-2.6,-2.0,28.5,15.3,12.5,1
CA,2013,03,,-7.7,-6.5,35.9,16.2,13.4,1
CA,2013,04,,-13.7,-9.9,37.6,14.6,11.4,1
CA,2013,05,,-19.4,-15.9,43.1,12.3,7.1,1
CA,2013,06,,-27.5,-21.1,57.2,7.4,6.3,1
CA,2014,01,,-10.1,-8.1,34.4,2.5,2.3,1
CA,2014,02,,-12.2,-10.2,32.4,6.6,5.6,1
CA,2014,03,,-14.8,-11.9,34.0,10.8,9.5,1
CA,2014,04,,-16.5,-11.9,37.6,10.0,9.3,1
CA,2014,05,,-21.4,-15.6,42.1,6.9,5.6,1
CA,2014,06,,-34.8,-25.7,52.1,1.2,1.0,1
CA,2015,01,,-8.1,-6.2,35.1,5.3,4.4,1
CA,2015,02,,-13.1,-11.4,36.7,7.2,5.8,1
CA,2015,03,,-19.8,-16.9,37.2,7.5,5.3,1
CA,2015,04,,-26.7,-26.0,35.0,5.8,1.6,1
CA,2015,05,,-19.6,-11.5,38.1,4.7,1.8,1
CA,2016,01,,1.0,2.5,29.1,13.9,13.2,1
CA,2016,02,,0.1,1.1,35.4,18.7,18.1,1
CA,2016,03,,-2.2,-0.1,34.6,22.8,20.7,1
CA,2016,04,,-4.7,-1.9,38.7,21.7,20.0,1
CA,2016,05,,-5.2,0.3,41.6,15.6,12.1,1
CA,2016,06,,-3.8,3.2,53.2,17.8,18.0,1
CO,2000,01,,-3.6,-2.4,18.8,5.1,4.4,1
CO,2000,02,,-2.8,-1.3,23.1,9.0,8.3,1
CO,2000,03,,-1.5,-0.3,24.7,13.5,12.4,1
CO,2000,04,,-1.9,-0.8,34.8,14.6,13.7,1
CO,2000,05,,-6.1,-4.9,41.5,9.3,8.1,1
CO,2000,06,,-11.0,-8.7,48.6,5.0,2.7,1
CO,2001,01,,-1.4,-0.9,15.1,7.2,6.3,1
CO,2001,02,,-1.6,-1.0,20.1,10.1,9.0,1
CO,2001,03,,-1.4,-1.0,25.0,13.6,12.2,1
CO,2001,04,,-0.8,-0.6,33.0,15.5,14.0,1
CO,2001,05,,-2.2,-1.2,39.3,11.6,10.3,1
CO,2001,06,,-7.8,-4.2,46.2,4.1,1.9,1
CO,2002,01,,-3.1,-2.2,16.0,5.4,5.0,1
CO,2002,02,,-4.7,-3.6,16.4,6.8,6.2,1
CO,2002,03,,-5.7,-4.5,22.0,9.0,8.3,1
CO,2002,04,,-10.3,-9.0,35.5,7.8,7.3,1
CO,2002,05,,-14.3,-13.4,37.3,5.1,3.6,1
